Price,Area,Location,bhk,Lift,Parking,price_per_sqft
3200000,820,Badlapur East,2,1,0,3902.439024390244
3100000,920,Badlapur East,2,1,1,3369.5652173913045
2600000,510,Badlapur East,1,1,1,5098.0392156862745
3565999,703,Badlapur East,2,1,1,5072.544807965861
4267000,841,Badlapur East,2,1,1,5073.72175980975
4427000,873,Badlapur East,2,1,1,5071.019473081329
3872000,762,Badlapur East,2,1,1,5081.364829396325
3125000,615,Badlapur East,1,1,1,5081.30081300813
2725000,535,Badlapur East,1,1,1,5093.457943925234
3811999,750,Badlapur East,2,1,1,5082.665333333333
4052000,798,Badlapur East,2,1,1,5077.694235588972
2950000,580,Badlapur East,1,1,1,5086.206896551724
2575000,505,Badlapur East,1,1,1,5099.009900990099
2750000,700,Badlapur East,1,1,1,3928.5714285714284
2399000,620,Badlapur West,1,1,1,3869.3548387096776
2200000,670,Badlapur West,1,0,1,3283.582089552239
2110000,545,Badlapur West,1,1,0,3871.559633027523
2077000,620,Badlapur West,1,1,1,3350.0
2425000,690,Badlapur West,1,1,1,3514.4927536231885
2400000,700,Badlapur West,1,0,0,3428.5714285714284
2650000,650,Badlapur West,1,1,0,4076.923076923077
12200000,1327,Balkum,3,1,1,9193.669932177845
11000000,440,Bandra East,1,0,1,25000.0
42500000,1305,Bandra East,2,1,1,32567.049808429118
60000000,1750,Bandra East,3,1,1,34285.71428571428
68000000,1500,Bandra East,2,1,0,45333.333333333336
35000000,1150,Bandra East,2,1,0,30434.782608695652
30400000,1100,Bandra East,2,1,0,27636.363636363636
80000000,1980,Bandra East,3,1,0,40404.0404040404
58500000,1700,Bandra East,3,1,0,34411.76470588235
115000000,3000,Bandra East,4,1,0,38333.333333333336
31200000,838,Bandra East,2,1,0,37231.50357995227
55000000,2000,Bandra East,3,1,0,27500.0
34700000,832,Bandra Kurla Complex,2,1,1,41706.730769230766
36500000,965,Bandra Kurla Complex,3,1,1,37823.83419689119
30000000,850,Bandra West,2,0,1,35294.117647058825
120000000,2893,Bandra West,4,1,1,41479.4331144141
72500000,1750,Bandra West,3,1,1,41428.57142857143
35000000,1000,Bandra West,2,1,1,35000.0
70000000,1800,Bandra West,3,1,0,38888.88888888889
25700000,750,Bandra West,2,0,0,34266.666666666664
25700000,750,Bandra West,2,1,0,34266.666666666664
20000000,550,Bandra West,1,1,0,36363.63636363636
70000000,1824,Bandra West,3,0,0,38377.19298245614
70000000,1824,Bandra West,3,1,0,38377.19298245614
60000000,1118,Bandra West,3,1,0,53667.26296958855
60000000,1200,Bandra West,2,1,0,50000.0
94900000,2255,Bandra West,3,1,1,42084.25720620843
52400000,1182,Bandra West,2,1,1,44331.64128595601
22000000,550,Bandra West,1,1,0,40000.0
120000000,2150,Bandra West,4,1,1,55813.95348837209
13500000,1050,Belapur,2,1,1,12857.142857142857
18000000,1335,Belapur,2,1,1,13483.14606741573
19000000,1267,Belapur,3,1,1,14996.05367008682
65000000,5000,Belapur,5,0,0,13000.0
14000000,1020,Belapur,2,1,0,13725.490196078432
19500000,1600,Belapur,3,1,0,12187.5
15500000,1300,Belapur,2,1,0,11923.076923076924
11500000,1000,Belapur,2,1,0,11500.0
27000000,2200,Belapur,3,1,0,12272.727272727272
25500000,1900,Belapur,3,1,0,13421.052631578947
25400000,1900,Belapur,3,1,0,13368.421052631578
22500000,1800,Belapur,3,1,0,12500.0
15900000,1090,Belapur,2,1,0,14587.155963302752
17500000,1335,Belapur,2,1,1,13108.614232209738
25000000,1650,Belapur,3,1,0,15151.515151515152
13000000,1001,Belapur,2,1,0,12987.012987012988
22000000,1800,Belapur,3,1,0,12222.222222222223
14000000,1225,Belapur,2,1,0,11428.57142857143
25000000,1850,Belapur,3,1,0,13513.513513513513
23500000,1850,Belapur,3,0,0,12702.702702702703
23000000,1850,Belapur,3,1,0,12432.432432432432
4600000,680,Beturkar Pada,1,1,0,6764.705882352941
21000000,1130,Bhakti Park,2,1,1,18584.070796460175
