Price,Area,Location,bhk,Lift,Parking,price_per_sqft,location_n
2057000,605,Boisar,1,0,1,3400.0,23
3722999,1095,Boisar,3,0,1,3399.999086757991,23
3988000,1108,Boisar,3,0,1,3599.2779783393503,23
3308000,973,Boisar,1,0,1,3399.7944501541624,23
3661000,1077,Boisar,3,0,1,3399.2571959145776,23
2200000,820,Boisar,2,0,0,2682.9268292682927,23
4100000,1380,Boisar,3,0,0,2971.014492753623,23
20500000,1155,Borivali,3,1,1,17748.91774891775,24
14500000,829,Borivali,2,1,1,17490.952955367913,24
17000000,1105,Borivali East,2,1,1,15384.615384615385,25
15300000,950,Borivali East,2,1,1,16105.263157894737,25
26000000,1840,Borivali East,3,1,1,14130.434782608696,25
11299999,600,Borivali East,1,1,1,18833.331666666665,25
15500000,907,Borivali East,2,1,1,17089.30540242558,25
11000000,600,Borivali East,1,1,1,18333.333333333332,25
22500000,1189,Borivali East,3,1,1,18923.465096719934,25
21500000,1080,Borivali East,2,1,1,19907.40740740741,25
23000000,1500,Borivali East,3,1,1,15333.333333333334,25
10000000,600,Borivali East,1,1,1,16666.666666666668,25
11000000,600,Borivali East,1,1,1,18333.333333333332,25
18500000,1020,Borivali East,2,1,1,18137.254901960783,25
11000000,585,Borivali East,1,1,1,18803.418803418805,25
16500000,1050,Borivali East,2,1,1,15714.285714285714,25
10000000,552,Borivali East,1,1,1,18115.942028985508,25
15500000,845,Borivali East,2,1,1,18343.19526627219,25
14000000,900,Borivali East,2,1,1,15555.555555555555,25
13200000,918,Borivali East,2,1,0,14379.084967320261,25
21500000,1450,Borivali East,2,1,0,14827.586206896553,25
14000000,700,Borivali East,2,0,0,20000.0,25
45199999,2800,Borivali East,4,0,0,16142.856785714286,25
17000000,950,Borivali East,2,0,0,17894.736842105263,25
10000000,600,Borivali East,1,1,1,16666.666666666668,25
13500000,850,Borivali East,2,1,0,15882.35294117647,25
9000000,560,Borivali East,1,1,1,16071.42857142857,25
14000000,800,Borivali East,2,1,0,17500.0,25
8700000,600,Borivali East,1,1,0,14500.0,25
28500000,1700,Borivali East,3,1,0,16764.70588235294,25
12200000,880,Borivali East,2,1,0,13863.636363636364,25
39900000,2500,Borivali East,4,1,0,15960.0,25
8700000,595,Borivali East,1,1,1,14621.848739495797,25
33500000,1785,Borivali West,3,1,1,18767.50700280112,26
38600000,2030,Borivali West,3,1,1,19014.778325123152,26
22000000,1300,Borivali West,2,1,1,16923.076923076922,26
16299999,900,Borivali West,2,1,1,18111.11,26
11000000,670,Borivali West,1,1,1,16417.910447761195,26
13000000,816,Borivali West,2,1,1,15931.372549019608,26
